analytics_id,q1,total_answers,accepted_answer_id,avg_answer_length,best_answer_score,response_time_avg,tags,bookmark_count,share_count,updated_at,conversion_rate,bounce_rate
223,223,8,17.0,94,9,9,"['impedit', 'perspiciatis', 'ullam']",18,14,2025-05-15 08:26:16.301390,0.052,0.45
224,224,0,,329,27,9,['eligendi'],50,6,2025-03-27 04:06:24.783664,0.069,0.28
225,225,13,,241,45,45,"['vel', 'quibusdam', 'sint', 'reprehenderit']",17,12,2025-05-27 23:53:26.704857,0.048,0.21
226,226,10,8.0,726,18,33,"['iure', 'exercitationem', 'earum', 'iusto', 'repellat']",47,17,2025-05-09 03:33:26.718216,0.086,0.62
227,227,0,93.0,384,37,60,"['vel', 'saepe', 'expedita']",22,7,2025-03-10 03:05:24.958493,0.069,0.55
228,228,3,,56,10,57,"['nemo', 'adipisci', 'nihil', 'nesciunt']",35,20,2025-04-07 11:01:21.379747,0.092,0.27
229,229,2,12.0,449,22,12,"['a', 'distinctio', 'deleniti', 'dolorem', 'earum']",26,9,2025-05-24 21:15:46.963449,0.029,0.71
230,230,9,,70,20,63,"['repellendus', 'quidem']",10,5,2025-04-02 18:00:26.369043,0.051,0.63
231,231,5,,190,18,48,"['praesentium', 'iure']",18,14,2025-05-25 10:56:48.943709,0.02,0.63
232,232,3,1.0,427,38,53,['perspiciatis'],1,13,2025-05-07 03:35:07.571300,0.014,0.5
233,233,4,,445,25,71,"['fuga', 'est', 'velit', 'ullam', 'aperiam']",19,2,2025-04-21 10:41:43.785784,0.063,0.76
234,234,15,34.0,102,11,9,"['quod', 'repellendus', 'reprehenderit', 'aut']",42,0,2025-03-24 13:42:27.172823,0.051,0.39
235,235,4,,255,50,32,"['aut', 'nisi', 'sunt']",30,17,2025-05-31 17:28:55.324474,0.052,0.37
236,236,1,50.0,253,30,4,['ex'],14,9,2025-03-30 20:45:28.725880,0.1,0.6
237,237,8,,125,25,41,"['itaque', 'temporibus', 'ipsum', 'culpa']",40,15,2025-03-30 09:31:22.022398,0.086,0.71
238,238,14,59.0,584,8,44,"['modi', 'hic', 'eveniet', 'ab', 'nisi']",41,18,2025-03-15 19:49:43.935465,0.077,0.23
239,239,6,20.0,688,16,57,"['alias', 'facilis', 'deserunt', 'aperiam', 'recusandae']",38,12,2025-03-31 08:23:46.320504,0.038,0.22
240,240,3,88.0,353,30,72,"['cum', 'molestiae', 'cupiditate']",37,18,2025-05-25 14:34:13.903255,0.094,0.56
241,241,9,6.0,188,25,44,"['accusamus', 'quasi', 'pariatur']",31,9,2025-05-14 00:33:00.160769,0.068,0.48
242,242,4,,743,20,40,"['nostrum', 'esse', 'iusto']",31,12,2025-04-18 21:26:43.620350,0.09,0.27
243,243,4,78.0,282,27,5,"['earum', 'rem']",23,17,2025-05-27 13:27:11.991956,0.016,0.3
244,244,0,3.0,600,6,43,['dolore'],14,1,2025-05-06 15:42:31.995098,0.028,0.36
245,245,10,13.0,745,2,71,"['aspernatur', 'laudantium', 'saepe', 'nihil', 'eius']",40,16,2025-04-06 22:51:12.468332,0.097,0.25
246,246,4,54.0,456,49,71,"['dicta', 'veniam', 'laudantium']",26,18,2025-05-03 11:43:15.278977,0.039,0.52
247,247,7,62.0,363,33,60,['placeat'],18,19,2025-05-08 08:04:42.594405,0.064,0.42
248,248,6,29.0,547,3,71,['autem'],32,8,2025-04-18 10:35:09.468599,0.097,0.45
249,249,4,,279,27,1,"['totam', 'sit', 'exercitationem', 'laboriosam']",36,10,2025-05-17 09:35:11.478903,0.078,0.31
250,250,4,64.0,522,22,39,"['distinctio', 'culpa', 'perspiciatis']",32,19,2025-05-01 07:26:34.646150,0.037,0.45
251,251,3,18.0,745,10,22,"['nihil', 'fugit', 'autem', 'possimus', 'officia']",21,20,2025-03-28 03:14:47.616178,0.014,0.5
252,252,1,57.0,431,4,4,"['reprehenderit', 'voluptas']",10,1,2025-05-08 09:08:16.995857,0.087,0.66
253,253,11,33.0,488,4,56,['vel'],40,12,2025-05-24 15:00:42.276781,0.027,0.43
254,254,13,99.0,633,11,42,"['voluptas', 'nam', 'hic']",19,15,2025-03-25 05:16:42.832356,0.05,0.46
255,255,10,,800,8,40,"['dolorum', 'perferendis']",47,6,2025-04-21 02:15:56.139886,0.028,0.22
256,256,0,99.0,254,43,69,"['qui', 'voluptate']",34,13,2025-04-23 05:43:11.274456,0.083,0.49
257,257,13,47.0,115,28,3,"['enim', 'libero', 'laboriosam']",43,17,2025-03-06 15:45:50.299143,0.05,0.45
258,258,15,,150,44,27,"['sapiente', 'reiciendis', 'sed']",50,11,2025-04-25 01:04:03.854489,0.073,0.33
259,259,4,54.0,788,40,38,"['ipsa', 'optio', 'praesentium', 'iusto', 'eos']",22,13,2025-04-04 10:02:04.964829,0.025,0.66
260,260,9,27.0,596,0,58,"['reiciendis', 'unde', 'incidunt', 'possimus', 'magnam']",50,3,2025-05-28 01:01:44.389481,0.024,0.27
261,261,11,32.0,752,41,65,"['tenetur', 'ratione']",22,5,2025-05-31 23:39:30.644530,0.055,0.61
262,262,9,14.0,638,22,7,"['sint', 'recusandae', 'ut', 'possimus', 'libero']",18,3,2025-05-30 00:06:44.996693,0.098,0.54
263,263,15,,787,24,38,"['rem', 'ad', 'quod', 'magni', 'assumenda']",12,2,2025-05-18 15:12:02.231082,0.044,0.55
264,264,7,15.0,423,16,41,"['itaque', 'fugiat']",15,5,2025-03-28 20:27:03.778353,0.087,0.26
265,265,10,57.0,103,16,3,"['eligendi', 'consectetur']",36,14,2025-03-14 08:58:39.048020,0.091,0.49
266,266,7,,687,28,43,"['quia', 'aut']",49,20,2025-03-30 03:52:45.146620,0.047,0.69
267,267,13,74.0,673,50,61,"['ab', 'minus']",2,9,2025-04-20 20:34:04.996517,0.048,0.73
268,268,12,55.0,262,24,20,['provident'],16,14,2025-04-27 13:31:53.118443,0.06,0.29
269,269,3,,649,21,30,"['modi', 'voluptate', 'molestias']",7,4,2025-05-22 09:27:44.782796,0.014,0.28
270,270,9,46.0,450,7,63,"['modi', 'delectus', 'animi', 'aliquid']",19,0,2025-04-28 21:20:46.390653,0.057,0.42
271,271,7,,70,25,18,"['impedit', 'quisquam', 'exercitationem']",3,8,2025-04-27 20:32:25.141675,0.098,0.57
272,272,7,,705,48,68,"['earum', 'necessitatibus', 'quos', 'modi', 'repudiandae']",16,9,2025-04-05 09:03:07.571293,0.026,0.59
273,273,15,15.0,97,14,68,"['blanditiis', 'quis', 'magni', 'recusandae', 'consequuntur']",0,1,2025-04-03 23:14:15.971902,0.08,0.26
274,274,10,89.0,580,13,1,['quod'],4,14,2025-03-20 04:01:43.977663,0.064,0.58
275,275,5,,106,37,19,"['dolore', 'laborum', 'quasi', 'itaque', 'veniam']",35,6,2025-04-03 23:57:26.110410,0.039,0.76
276,276,15,,602,23,34,"['iste', 'a']",22,14,2025-05-06 15:31:56.426284,0.038,0.45
277,277,3,,80,23,48,"['rerum', 'id']",6,17,2025-05-30 08:54:18.284469,0.069,0.37
278,278,11,92.0,149,27,69,"['nemo', 'est', 'eligendi']",41,0,2025-03-16 06:36:03.145047,0.066,0.47
279,279,11,,722,3,58,"['totam', 'enim']",21,0,2025-04-26 13:52:37.714794,0.075,0.69
280,280,12,,633,12,26,"['inventore', 'voluptatum', 'ducimus', 'dicta', 'pariatur']",23,5,2025-05-01 04:29:53.184268,0.091,0.24
281,281,5,,111,8,69,"['ipsum', 'alias', 'saepe']",7,1,2025-05-30 03:13:45.151942,0.086,0.44
282,282,9,,258,8,45,"['dolorem', 'sunt', 'officiis']",14,8,2025-06-02 05:24:30.741638,0.024,0.77
283,283,9,,681,20,29,"['illum', 'assumenda', 'perspiciatis']",36,18,2025-03-16 21:52:54.644924,0.052,0.51
284,284,13,,354,20,60,"['mollitia', 'numquam', 'explicabo']",13,1,2025-05-25 01:52:59.429610,0.064,0.39
285,285,14,77.0,627,28,26,"['reprehenderit', 'nostrum', 'magnam']",2,11,2025-04-18 02:03:02.672330,0.065,0.68
286,286,11,98.0,263,27,62,['pariatur'],42,15,2025-04-07 15:51:45.822691,0.037,0.29
287,287,3,55.0,100,6,46,"['cumque', 'ducimus', 'exercitationem']",11,2,2025-04-17 07:39:07.332352,0.034,0.66
288,288,2,,588,40,28,"['omnis', 'occaecati']",2,0,2025-05-28 21:49:08.824458,0.079,0.35
289,289,8,,391,14,47,"['asperiores', 'accusantium', 'nam']",33,15,2025-03-06 20:05:06.154315,0.086,0.32
290,290,10,34.0,565,14,4,"['natus', 'nesciunt', 'placeat', 'consequatur', 'harum']",32,13,2025-04-19 08:01:46.881312,0.072,0.43
291,291,6,1.0,738,38,29,"['occaecati', 'animi']",16,19,2025-03-17 09:13:04.311932,0.03,0.4
292,292,12,100.0,347,35,53,"['iure', 'rerum', 'tempore', 'numquam', 'animi']",13,9,2025-05-25 17:51:24.613496,0.054,0.45
293,293,6,,209,5,38,"['maiores', 'similique', 'reiciendis', 'doloremque']",16,19,2025-04-06 10:32:28.503906,0.013,0.49
294,294,1,23.0,408,28,19,"['commodi', 'ullam', 'quia', 'odit', 'hic']",47,7,2025-03-14 04:52:42.623738,0.04,0.2
295,295,10,,68,14,17,"['laboriosam', 'molestias', 'adipisci']",17,16,2025-05-29 18:57:59.864102,0.058,0.6
296,296,0,,256,19,38,"['repellat', 'voluptatibus']",22,11,2025-04-22 11:12:28.766445,0.014,0.76
297,297,2,70.0,720,23,1,"['magnam', 'ullam', 'praesentium', 'earum', 'doloremque']",3,5,2025-05-12 23:28:53.430878,0.048,0.67
298,298,2,8.0,402,34,57,"['nulla', 'distinctio', 'incidunt', 'atque']",32,7,2025-04-13 01:47:06.932558,0.086,0.74
299,299,1,,748,26,8,"['repellendus', 'illo', 'ipsam']",15,7,2025-04-06 21:37:19.450369,0.011,0.76
300,300,3,2.0,481,17,48,['quidem'],23,8,2025-05-28 06:36:52.920066,0.037,0.5
