result_id,takers_id,test_type,test_date,completion_time,total_score,personality_type,stress_level,validity_check,report_generated,bounce_rate,impression_count
347,72,Big5,2024-08-12,55,60,ISFJ,높음,True,True,0.58,36269
348,58,MBTI,2024-11-29,51,62,INFP,높음,False,False,0.37,18013
349,116,NEO-PI-R,2025-05-01,96,131,None,매우높음,False,True,0.55,7827
350,37,MBTI,2024-09-19,25,66,ENTP,매우높음,True,False,0.4,16175
351,26,NEO-PI-R,2025-02-13,51,129,ENFP,높음,True,True,0.73,35308
352,5,NEO-PI-R,2024-12-20,90,51,ENTJ,매우높음,True,True,0.48,24115
353,105,Big5,2025-02-13,41,56,INTJ,낮음,True,True,0.69,49535
354,77,MMPI,2024-09-14,93,102,None,높음,True,True,0.28,14204
355,191,MMPI,2024-06-06,111,123,ENTP,매우높음,False,True,0.43,27236
356,24,MBTI,2025-04-19,80,107,ENTJ,높음,True,False,0.56,17516
357,162,MMPI,2024-07-28,70,65,INFP,보통,True,True,0.37,40293
358,181,NEO-PI-R,2024-07-27,79,120,INTJ,매우높음,True,True,0.63,47006
359,163,CPI,2024-08-06,37,99,ENTJ,높음,True,True,0.6,38205
360,127,NEO-PI-R,2025-05-23,53,66,INFP,매우높음,True,True,0.54,21391
361,32,MBTI,2025-01-26,43,122,INFP,낮음,True,True,0.75,46524
362,115,MBTI,2025-04-07,111,77,ISFJ,매우높음,True,True,0.75,5809
363,197,NEO-PI-R,2024-10-12,35,52,ENTP,높음,True,True,0.67,18996
364,2,NEO-PI-R,2024-07-05,62,66,ENTP,보통,True,True,0.26,43516
365,157,NEO-PI-R,2024-12-13,109,69,ESTP,매우높음,True,True,0.68,32897
366,58,MMPI,2025-01-16,99,125,ISFJ,높음,False,True,0.37,29671
367,53,NEO-PI-R,2025-02-24,71,57,ISFP,매우높음,False,True,0.39,226
368,182,Big5,2025-05-06,83,140,ESTP,매우높음,True,True,0.77,39677
369,88,NEO-PI-R,2025-03-25,33,79,ESTP,보통,True,True,0.71,9686
370,83,MBTI,2025-04-01,118,138,None,보통,True,True,0.27,41789
371,151,CPI,2024-09-19,70,111,INFP,보통,True,True,0.6,40995
372,39,NEO-PI-R,2024-11-09,19,93,ESTP,낮음,True,True,0.76,16464
373,48,NEO-PI-R,2024-10-28,77,141,ISFJ,높음,True,True,0.71,9555
374,15,Big5,2025-01-20,46,127,ENFP,보통,True,True,0.37,23726
375,10,MMPI,2024-11-18,80,86,ENTJ,높음,True,True,0.22,37831
376,135,MBTI,2025-01-23,68,53,ISFJ,낮음,True,True,0.4,34404
377,8,MMPI,2024-06-05,63,110,None,보통,False,True,0.38,46207
378,173,CPI,2024-09-15,82,114,ENTJ,매우높음,True,True,0.63,20927
379,119,CPI,2024-12-03,29,69,ISFP,높음,True,False,0.56,36156
380,183,Big5,2025-01-25,36,85,ENTJ,낮음,True,True,0.22,17089
381,172,NEO-PI-R,2024-08-09,33,52,INFP,보통,True,True,0.63,42003
382,175,Big5,2025-01-10,31,133,ENFP,매우높음,True,True,0.59,1731
383,175,NEO-PI-R,2024-09-05,108,144,ENFP,높음,True,False,0.69,16737
384,17,MMPI,2024-07-24,32,125,ENFP,매우높음,True,True,0.65,25438
385,130,CPI,2025-02-08,33,68,ENTJ,높음,True,True,0.48,36854
386,154,Big5,2025-01-05,51,101,ENTP,낮음,True,True,0.38,17113
387,161,MMPI,2024-12-13,60,69,ENTJ,낮음,True,True,0.61,38493
388,195,CPI,2025-05-22,114,123,None,높음,True,False,0.6,35462
389,171,CPI,2025-02-15,83,90,INTJ,보통,True,True,0.72,11556
390,176,CPI,2024-08-06,97,64,None,낮음,False,True,0.67,289
391,125,MMPI,2025-04-30,24,116,ISFP,매우높음,True,True,0.52,16004
392,49,MMPI,2024-08-04,31,66,INTJ,보통,True,True,0.59,15175
393,172,CPI,2024-11-02,50,94,INTJ,높음,True,True,0.7,1163
394,16,CPI,2024-12-03,74,77,ISFP,매우높음,True,False,0.48,18047
395,148,Big5,2024-07-17,28,66,INTJ,보통,True,True,0.59,33586
396,31,CPI,2025-05-10,70,102,ISFP,높음,True,True,0.34,35451
397,130,CPI,2024-06-02,72,115,ENFP,낮음,True,True,0.29,44294
398,175,CPI,2025-03-20,64,81,ENFP,높음,True,True,0.32,10240
399,88,MMPI,2024-12-08,77,67,INFP,매우높음,True,True,0.48,33535
400,161,CPI,2024-12-19,87,57,INTJ,보통,True,True,0.28,24052
