detail_id,project_id,description,start_date,end_date,category
64,64,"Enim possimus placeat voluptatibus quos consequatur eos. Dolor quasi sequi debitis. Enim aliquid quae libero.
Sit voluptates nulla corrupti.
Nulla expedita quasi nisi culpa quod fugit. Soluta molestiae nostrum aperiam.
Possimus minus quo sint ut. Distinctio quas dolore dolorem ut commodi culpa incidunt.
Asperiores voluptate ipsum minima hic necessitatibus ipsam. Rem recusandae expedita ducimus commodi natus.
Illo vel ipsam ea totam repudiandae.",2025-04-07,2025-08-11,예술
65,65,"Ratione quidem cum enim. Maxime recusandae voluptatibus dolore doloribus neque illum. Ullam non exercitationem perspiciatis id.
Veniam dolorum velit minus. Repellat rerum autem est quos.
Ex et nulla accusamus debitis repellat. Ullam quisquam voluptatum eveniet eligendi veniam ea reprehenderit.
Nihil ut quia totam neque. Illo laborum similique odit temporibus commodi.
Consectetur odio ex. Dicta sed in nobis fuga. Illum sed aspernatur cupiditate distinctio recusandae.",2025-03-26,2025-08-30,예술
66,66,"Cupiditate animi maiores temporibus nihil. Debitis et aspernatur. Delectus facere placeat.
Iure commodi totam minima expedita provident. Quos perferendis id enim commodi eos. Eos vel eaque magnam amet.
Dolore esse vel eveniet. Exercitationem possimus vero at labore ipsum asperiores. Quaerat fugiat inventore culpa quod voluptatem provident.
Aperiam voluptatum laudantium doloribus minus. Quam laborum odio nihil reprehenderit assumenda molestiae.",2025-04-25,2025-08-03,기술
67,67,"Vero ex quas. Non ratione labore nostrum totam. Quibusdam blanditiis velit temporibus eius vero reiciendis. Minus labore est dolorum amet aliquid.
Maiores repellat omnis aliquid occaecati eos rerum. Quibusdam rem beatae inventore dignissimos nesciunt.
Maiores ducimus nemo quaerat quidem labore eius commodi. Provident id iure incidunt consectetur repudiandae architecto. Rem quis laboriosam laborum eveniet consequuntur.",2025-03-17,2025-07-03,기타
68,68,"Deserunt at perferendis facilis. Expedita ea esse deleniti reprehenderit nobis illo.
Minus pariatur sint veniam. Assumenda expedita ipsam minima minima pariatur laborum eius.
Temporibus vitae voluptatem. Minus facere inventore omnis neque recusandae molestias. Magnam voluptatibus velit a sint beatae quaerat.
Error asperiores tenetur dolore cupiditate odit beatae. Iste ratione temporibus ab nulla labore quidem.",2025-05-19,2025-07-14,패션
69,69,"Cum doloribus eaque eligendi sequi nesciunt labore. Exercitationem unde odit similique ipsam odit at adipisci.
Non nulla non modi doloremque velit.
Ratione dolorum omnis modi neque officiis. Possimus consectetur cum iste. Voluptatibus animi repellat aut necessitatibus accusamus commodi.
Consectetur commodi ipsam ullam. Sint corporis non in velit eaque fugit.
Officia dolor incidunt temporibus perspiciatis nemo culpa beatae. Itaque dolorum consectetur.",2025-05-21,2025-07-31,예술
70,70,"At distinctio praesentium odit. Nesciunt et doloremque incidunt consequuntur.
Quo velit explicabo nulla id recusandae dolorem doloremque. Nostrum vero vel explicabo numquam doloremque fugit et.
Molestiae ullam accusamus cupiditate optio. Quo nesciunt similique soluta necessitatibus eveniet ipsam consequatur.
Laudantium a molestias necessitatibus ducimus blanditiis. Optio in eum quasi adipisci explicabo itaque.",2025-05-01,2025-08-02,기술
71,71,"Consequuntur illo at corrupti dolorum odit repellendus. Voluptates labore nemo sapiente saepe praesentium.
Harum porro harum dolor aspernatur deleniti. Quis blanditiis sit repudiandae et. Soluta quidem temporibus ipsa sunt. Aspernatur asperiores dolores voluptatibus eaque eveniet illo.
Possimus suscipit iusto. Totam soluta quibusdam eligendi facilis optio minima.
Quam rerum quisquam sint. Unde architecto ullam odit beatae aliquam voluptates.",2025-05-06,2025-07-21,기타
72,72,"Maxime quas eaque dolor laboriosam provident. Deserunt vel harum saepe quae labore. Laboriosam repellat optio aut perspiciatis nihil.
Ipsum totam sint. Dolorum aliquam delectus fugit totam possimus distinctio.
Accusantium nobis voluptate asperiores. Sed voluptas omnis adipisci culpa voluptate.
Aut voluptatibus assumenda repellat. Ullam similique debitis facilis ex. Veniam quibusdam sit ut officiis perspiciatis.",2025-03-17,2025-08-01,기타
73,73,"Praesentium enim dolorum reprehenderit voluptates. Optio recusandae eligendi natus inventore.
Quibusdam alias voluptatem rerum. Voluptatem praesentium quia voluptates nihil doloribus.
Ex sequi quam deleniti consequatur. Tempore vitae vero nihil neque odit facilis assumenda. Assumenda minima praesentium provident rerum mollitia veritatis tempora.
Quos molestiae voluptates ipsum possimus odit. Ut ex reprehenderit eius omnis iste placeat quas.",2025-03-25,2025-08-19,게임
74,74,"In vitae sapiente eius. Sapiente aspernatur eos asperiores ea non inventore.
Quas saepe culpa dolorem adipisci reiciendis iste.
Atque reprehenderit accusamus a. Enim suscipit nisi similique. Provident perferendis consequuntur earum ipsa ipsum illum. Magni eaque quae possimus suscipit.
Maiores autem necessitatibus quo asperiores sed delectus. Laboriosam similique assumenda tempora. Officiis minima tenetur ab tenetur.",2025-05-09,2025-06-20,기타
75,75,"Pariatur commodi sed quam culpa corrupti omnis. Molestiae dolores iure iure cupiditate architecto magnam aut. Non molestiae alias nihil.
Recusandae tempore ipsam quam tempora. Sequi labore placeat dolores eius tempora animi. Repellat sapiente illo provident.
Omnis ratione voluptatum quaerat quas minima. Consectetur impedit voluptatum eos.
Vitae officiis illo. Distinctio harum ipsum illo temporibus deleniti.
Quisquam minima voluptatibus numquam tempora. Alias tenetur laborum mollitia.",2025-05-15,2025-07-21,기타
76,76,"Officiis officia sint voluptates quos inventore exercitationem aspernatur. Quo dolore illo magni provident iure dignissimos. Nihil esse explicabo perspiciatis quidem architecto.
Quas voluptatum ab aspernatur. Possimus repellendus unde. Occaecati commodi corporis quis iste perspiciatis illum. Soluta aliquid beatae.
Cumque illo vitae ut ut. Debitis veritatis aut numquam dolorum dolore.",2025-03-04,2025-08-20,기타
77,77,"Nemo reiciendis eveniet modi est laudantium molestiae laborum. Esse eligendi impedit quis. Qui consequuntur deserunt laboriosam.
Magnam eligendi quibusdam a. Distinctio reprehenderit ratione eligendi nisi est. Blanditiis ut maiores quis dolorum fugiat dolorum.
Voluptatibus hic porro corporis. Illum porro assumenda qui atque excepturi.
Beatae velit fuga excepturi. Sint a culpa omnis architecto ea facere. Quos libero rerum quidem ea aspernatur.",2025-05-09,2025-07-18,기타
78,78,"Cum sint culpa magnam facere nisi veniam ipsum. Quidem architecto autem quas. Facere rem odio perspiciatis.
Nulla earum asperiores omnis. Impedit error assumenda accusamus repellat et.
Inventore repellat quas corporis earum recusandae illo. Asperiores aspernatur ea aut ipsum. Ullam occaecati quisquam odit debitis odio possimus.
Dolores aliquid voluptatibus. Eius aperiam cupiditate architecto dolores beatae. Nesciunt et sed molestiae mollitia nostrum.",2025-04-29,2025-06-04,푸드
79,79,"Repudiandae dolores voluptates ipsa. Corrupti error praesentium doloremque adipisci. Laborum non est iure. Esse suscipit vel cumque unde vel.
Aliquid aliquam quasi deleniti ratione. Quod distinctio distinctio molestias voluptate reiciendis enim.
In aspernatur non necessitatibus. Sunt itaque quae nemo vero debitis. Exercitationem eius fugiat aperiam ipsa voluptatem perferendis.",2025-04-25,2025-07-24,기술
80,80,"Aliquid voluptas nihil recusandae minus. Aspernatur enim quod dicta corporis sapiente provident. Nisi hic atque quisquam. Tempora tempora iure odit dolorem voluptas reprehenderit.
Ad placeat magnam dignissimos ipsum deserunt aliquam. Quasi enim consequuntur.
Id officiis sunt ut. Doloremque incidunt minus eius non magnam.
Laborum dolore ipsam voluptatem porro. Quae necessitatibus excepturi tempora.",2025-03-14,2025-08-23,기타
